City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
176,port alfred,-33.59,26.89,61.72,71,13,4.79,ZA,1605815144
177,prainha,-1.8,-53.48,86.02,57,100,2.86,BR,1605815144
178,gilbues,-9.83,-45.34,71.31,90,100,3.33,BR,1605815144
179,sinnamary,5.38,-52.95,77.02,92,100,11.54,GF,1605815144
180,zeya,53.75,127.27,8.11,87,11,2.15,RU,1605815144
181,chake chake,-5.25,39.77,78.91,84,34,9.17,TZ,1605815144
182,faanui,-16.48,-151.75,79.75,74,57,9.35,PF,1605815144
183,golden gate,26.19,-81.7,78.8,57,75,19.46,US,1605815144
184,tuatapere,-46.13,167.68,55.99,92,100,5.99,NZ,1605815144
185,clyde river,70.47,-68.59,15.8,92,90,8.05,CA,1605815144
186,namibe,-15.2,12.15,69.73,68,0,12.06,AO,1605815145
187,puerto ayacucho,5.66,-67.62,88.25,67,45,6.33,VE,1605815145
188,santa rita,-7.11,-34.98,84.2,70,40,10.29,BR,1605814937
189,zhigansk,66.77,123.37,-2.76,91,100,18.16,RU,1605815145
190,aksu,41.12,80.26,30.56,90,74,0.25,CN,1605815145
191,esperance,-33.87,121.9,57.2,100,75,8.05,AU,1605815145
192,limoeiro do ajuru,-1.9,-49.38,80.98,81,38,9.08,BR,1605815145
193,raymond,43.9,-70.47,33.01,58,100,1.99,US,1605815145
194,mbekenyera,-10.0,38.98,73.33,87,0,6.4,TZ,1605815145
195,yabrud,33.97,36.66,55.4,54,40,6.93,SY,1605815145
196,phrae,18.08,100.0,67.12,98,0,1.99,TH,1605815145
197,kichera,55.94,110.1,0.55,79,97,4.16,RU,1605815145
198,provideniya,64.38,-173.3,33.8,86,90,8.95,RU,1605815145
199,kerema,-7.96,145.78,76.89,85,73,4.61,PG,1605815146
200,mount isa,-20.73,139.5,82.4,32,0,8.05,AU,1605815146
201,bandar,2.05,99.75,74.48,94,100,1.66,ID,1605815146
202,suntar,62.14,117.63,-6.56,90,25,6.24,RU,1605815146
203,melfi,41.0,15.65,46.4,93,90,11.41,IT,1605815146
204,codrington,-38.27,141.97,55.9,92,17,8.32,AU,1605815146
205,kjollefjord,70.95,27.35,36.7,81,96,14.36,NO,1605815146
